"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
52,2,3,1,3,1,2,2,1963,2,NA,1,8,0,1,1,-9,2,NA,NA,NA,NA,1,1,2,6.9e+10,NA,NA,NA,NA,1,1.5e+08,2,NA,2.2e+09,289,NA,NA,NA,NA,NA,25,4,70,-9,NA,-9,NA,NA,"Paraguay"
15,1,2,1,3,1,1,2,2011,2,NA,1,5,23,0,1,20,2,NA,2,NA,NA,1,1,1,5.55e+10,NA,NA,-9,120,1,1.665e+10,1,100,0,94,50,44,20,30,0,0,NA,100,4.44e+09,3.33e+10,3.33e+08,3.985e+10,-9,"Paraguay"
52,2,2,2,NA,NA,NA,2,1943,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1.1e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,NA,100,3e+09,NA,6e+08,NA,NA,"Paraguay"
50,3,3,2,NA,NA,NA,2,1969,2,NA,1,0,NA,NA,1,1,2,NA,NA,NA,NA,1,1,6,-9,NA,NA,NA,NA,1,1.665e+11,1,100,0,145,NA,NA,NA,NA,NA,3,3,80,4717500000,NA,3.33e+08,NA,NA,"Paraguay"
25,1,1,2,NA,NA,NA,2,2013,1,5,1,2,1,0,1,14,1,-9,2,NA,NA,1,2,1,7e+09,0,0,100,168,2,NA,NA,NA,NA,12,6,6,3,3,0,0,NA,100,1e+09,3e+09,2e+07,-9,-9,"Paraguay"
51,3,3,1,200,2,NA,4,2006,1,10,1,0,NA,NA,1,3,1,90,NA,NA,NA,1,1,3,2.75e+12,NA,NA,NA,NA,1,2e+11,1,90,1.8e+11,264,NA,NA,NA,NA,NA,60,11,99,3.5e+10,NA,3e+08,NA,NA,"Paraguay"
51,3,3,1,12,1,2,2,1977,2,NA,1,-9,NA,NA,1,100,2,NA,NA,NA,NA,1,1,3,1.82e+11,NA,NA,NA,NA,1,2e+09,1,90,0,271,NA,NA,NA,NA,NA,0,NA,100,2.18e+10,NA,7e+08,NA,NA,"Paraguay"
15,1,2,2,NA,NA,NA,2,2000,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.2e+09,NA,NA,70,48,2,NA,NA,NA,NA,20,15,5,5,7,3,0,NA,70,5.8e+08,-9,6e+07,-9,-9,"Paraguay"
28,1,3,2,NA,NA,NA,1,2001,2,NA,1,0,NA,NA,1,0,2,NA,2,NA,NA,1,1,1,6.1e+10,0,0,55,144,1,8.7e+08,1,20,6e+09,151,97,54,7,80,10,4,3,56,6.5e+09,4.1e+09,7.5e+08,4.7e+10,-9,"Paraguay"
24,1,1,2,NA,NA,NA,5,1993,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,2.22e+09,NA,NA,100,50,2,NA,NA,NA,NA,5,4,1,1,1,2,0,NA,50,3.36e+08,-9,2.5e+07,-9,5.55e+09,"Paraguay"
