"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,3,1,2,2,NA,1,2015,1,90,2,NA,NA,NA,2,NA,2,NA,1,3,360,1,1,1,-9,NA,NA,15,45,1,556800,1,100,0,160,80,80,16,64,0,15,1,-9,-9,-9,12000,-9,-9,"Bolivia"
15,1,3,1,7,1,2,2,1886,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,978858187,NA,NA,90,168,1,2.1e+08,1,60,1.4e+07,1650,1530,120,1000,270,260,30,12,40,257635474.8184,10000005,-9,300000000,600000000,"Bolivia"
51,3,2,2,NA,NA,NA,5,1997,2,NA,1,3,0,30,2,NA,2,NA,NA,NA,NA,1,2,3,26448000,NA,NA,NA,NA,1,7e+06,1,100,-9,22,NA,NA,NA,NA,NA,0,NA,90,283000,NA,30000,NA,NA,"Bolivia"
15,1,2,2,NA,NA,NA,2,1994,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,7e+06,NA,NA,80,48,1,348000,1,80,0,60,40,20,20,20,0,0,NA,100,2784000,400000,20000,3400000,3200000,"Bolivia"
31,1,2,2,NA,NA,NA,5,2002,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,8242000,NA,NA,80,56,1,-9,NA,NA,0,14,7,7,2,4,1,15,9,100,1e+06,4000000,6000,5200000,3000000,"Bolivia"
55,3,2,1,2,1,1,5,1998,2,NA,1,2,0,0,2,NA,2,NA,NA,NA,NA,2,1,5,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Bolivia"
51,3,2,2,NA,NA,NA,5,1983,1,4,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,3,4500000,NA,NA,NA,NA,1,3e+05,1,10,0,50,NA,NA,NA,NA,NA,15,6,100,1825026,NA,60000,NA,NA,"Bolivia"
52,2,1,2,NA,NA,NA,3,1976,1,2,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,882000,NA,NA,NA,NA,1,76120,1,100,0,8,NA,NA,NA,NA,NA,4,3,100,260000,NA,5000,NA,NA,"Bolivia"
60,3,1,2,NA,NA,NA,5,2002,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,1200000,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,NA,100,722000,NA,18000,NA,NA,"Bolivia"
52,2,3,2,NA,NA,NA,5,2002,1,180,1,2,0,0,1,2,2,NA,NA,NA,NA,1,1,2,76294000,NA,NA,NA,NA,1,350000,1,100,0,220,NA,NA,NA,NA,NA,120,2,80,10302000,NA,1500000,NA,NA,"Bolivia"
