"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"7",28,1,6100000,2e+06,3e+06,30000,3e+06,"Ecuador"
"810",28,1,2159502,274557,1612468,4000,230000,"Ecuador"
"9",15,1,7500000,391000,1400000,178000,6e+05,"Ecuador"
"10",25,1,11255203,1673073,6074230,173530,3500000,"Ecuador"
"11",15,1,21969328,1586597,13603013,288853,8314438,"Ecuador"
"126",28,1,6e+05,120000,250000,8000,50000,"Ecuador"
"131",17,1,4472151,1100000,1599000,242000,2700000,"Ecuador"
"142",24,1,1.1e+07,1800000,3300000,96000,3e+06,"Ecuador"
"15",15,1,4e+07,6280729,20035592,335601,5754900,"Ecuador"
"162",20,1,1151778,277358,469507,12717,8e+05,"Ecuador"
"171",31,1,1e+07,935000,7500000,30000,1800000,"Ecuador"
"181",15,1,1289132,393588,433258,3765,550000,"Ecuador"
"193",24,1,4620000,1100000,967590,24000,350000,"Ecuador"
"202",17,1,5.9e+07,8200000,3e+07,2e+05,1e+07,"Ecuador"
"212",18,1,270000,88000,10900,684,1e+05,"Ecuador"
"222",25,1,4e+06,273582,1974817,170848,906000,"Ecuador"
"23",15,1,428000,168747,183820,3000,4e+05,"Ecuador"
"241",15,1,8e+05,180000,40000,12389,2e+06,"Ecuador"
"251",25,1,508898,64509,304584,6946,145000,"Ecuador"
"261",28,1,28264780,2917704,10523619,83386,1.5e+07,"Ecuador"
"281",21,1,6e+05,117100,3e+05,3000,250000,"Ecuador"
"291",17,1,650000,230000,70000,45000,1347754,"Ecuador"
"301",22,1,3.9e+07,15100000,4098755,420000,820000,"Ecuador"
"31",24,1,322000,140000,1e+05,4000,110000,"Ecuador"
"32",25,1,1200000,220000,4e+05,96000,4e+05,"Ecuador"
"332",20,1,358000,180000,43838,2880,2e+05,"Ecuador"
"342",22,1,377401,170000,40000,1500,2e+05,"Ecuador"
"35",29,1,5e+05,1e+05,50000,3000,150000,"Ecuador"
"361",25,1,1227531,54347,1020000,4000,7e+05,"Ecuador"
"37",25,1,934000,96000,436000,17405,3e+05,"Ecuador"
"381",18,1,10271722,1198932,1450875,731105,116119,"Ecuador"
"39",15,1,3148452,663273,1402967,19463,1500000,"Ecuador"
"403",18,1,3400000,1123000,980000,33700,4e+06,"Ecuador"
"412",17,1,1.3e+07,2e+06,6e+06,120000,25000,"Ecuador"
"42",18,1,220000,88000,77000,1000,35000,"Ecuador"
"43",25,1,4.1e+07,5e+06,2.3e+07,1400000,18173677,"Ecuador"
"442",18,1,120000,60000,40000,5000,3e+05,"Ecuador"
"45",24,1,2e+06,883000,111277,6000,7e+05,"Ecuador"
"46",17,1,4800000,1200000,1800000,7656,5e+05,"Ecuador"
"47",20,1,4e+06,215286,759549,14136,1e+06,"Ecuador"
"48",18,1,1.2e+07,1750000,2600000,92000,50000,"Ecuador"
"49",15,1,11400000,785557,7646385,180000,2285796,"Ecuador"
"50",22,1,5500000,1440000,2e+06,96000,1e+07,"Ecuador"
"51",15,1,4334078,1175688,1050298,147576,4e+06,"Ecuador"
"521",15,1,6e+06,1800000,2e+06,170000,650000,"Ecuador"
"53",24,1,4300000,901264,1295180,24340,990000,"Ecuador"
"542",24,1,2200000,224000,1310000,8500,2e+05,"Ecuador"
"55",19,1,2850000,474000,341940,30000,1200000,"Ecuador"
"56",24,1,1.3e+07,4369616,7279814,36294,5607188,"Ecuador"
"571",18,1,170000,60000,90000,5400,65000,"Ecuador"
"58",15,1,870000,86350,560000,14516,2e+06,"Ecuador"
"59",15,1,5820193,372629,3832978,8957,8e+05,"Ecuador"
"601",35,1,6e+06,400555,1e+06,100369,1e+05,"Ecuador"
"612",17,1,12700000,5813008,2294171,319566,5736462,"Ecuador"
"623",15,1,4e+06,4e+05,2050000,16000,3e+06,"Ecuador"
"632",19,1,2700000,350000,1250000,20000,2e+06,"Ecuador"
"64",37,1,1814348,373575,1102029,8866,3e+05,"Ecuador"
"65",15,1,379495,84176,145284,2316,204391,"Ecuador"
"662",15,1,4548712,1134614,2111222,84000,927252,"Ecuador"
"671",18,1,788674,156666,55878,10045,457343,"Ecuador"
