"Country.Name","Country.Code","Year","AG.AGR.TRAC.NO","AG.CON.FERT.PT.ZS","AG.CON.FERT.ZS","AG.LND.AGRI.K2","AG.LND.ARBL.HA","AG.LND.ARBL.ZS","AG.LND.CREL.HA","AG.LND.CROP.ZS","AG.LND.EL5M.RU.K2","AG.LND.FRST.K2","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.LND.TOTL.K2","AG.LND.TOTL.RU.K2","AG.PRD.CREL.MT","AG.SRF.TOTL.K2","AG.YLD.CREL.KG","EN.ATM.METH.AG.KT.CE","EN.ATM.NOXE.AG.KT.CE","ER.H2O.FWAG.ZS","NV.AGR.TOTL.CD","NV.AGR.TOTL.ZS","SL.AGR.EMPL.ZS","SP.RUR.TOTL","SL.EMP.TOTL.SP.ZS","SP.POP.65UP.TO","SP.POP.1564.TO","TX.VAL.AGRI.ZS.UN","ER.H2O.FWTL.K3","SL.EMP.TOTL.SP.MA.NE.ZS","SL.EMP.1524.SP.ZS","SL.EMP.1524.SP.NE.ZS","SP.POP.0014.TO","SP.POP.TOTL"
"Central African Republic","CAF",1990,NA,NA,NA,50060,1920000,3.08196089762111,110070,0.138046165205946,NA,225600,NA,NA,622980,NA,89142,622980,809.9,33077.9020589693,39504.3922354,NA,652177585.938395,49.2762101345289,NA,1857206,NA,117887,1551495,NA,NA,NA,NA,NA,1270398,2939780
"Chad","TCD",1990,NA,NA,NA,483000,3273000,2.59926937738246,1075428,0.0214421855146125,NA,67050,NA,NA,1259200,NA,601390,1284000,559.2,8682.25474021428,7309.2200179,NA,484875098.582758,29.2798657126065,NA,4717177,NA,192376,2937859,NA,NA,NA,NA,NA,2826624,5956859
"Channel Islands","CHI",1990,NA,NA,NA,85,3700,19.4736842105263,NA,NA,NA,8,NA,NA,190,NA,NA,190,NA,0,0,NA,NA,NA,NA,96512,NA,20533,97455,NA,NA,NA,NA,NA,22683,140671
"Chile","CHL",1990,35750,NA,NA,158990,2802000,3.76849954003325,823447,0.332198210702431,3597.688721,152630,NA,NA,743532,709418.75,2980600,756096,3619.7,5806.5853347435,4096.994255,NA,2497566415.2181,9.1469421907315,NA,2215276,NA,826312,8445091,8.53191797345327,NA,NA,NA,NA,3970729,13242132
"China","CHN",1990,824113,NA,NA,5056940,123800000,13.1866961361276,93020205,0.798870929086891,83906.6875,1571406,NA,NA,9388250,8868577,401934965,9562950,4320.9,523399.898550032,253401.85323,83,95931579346.0803,26.5843081183771,NA,835019382,NA,64161215,744532255,3.49281065524571,500,NA,NA,NA,326491530,1135185000
"Colombia","COL",1990,32000,NA,NA,450830,3305000,2.97881928796755,1742800,1.52771518702118,5934.868164,644170,NA,NA,1109500,1090598.125,4314100,1141750,2475.4,36131.7472647345,16262.10121,NA,6538637359.1367,16.7480927927373,NA,10872311,NA,1421102,20385155,4.32379902355664,NA,73.629997253418,NA,NA,12465308,34271565
"Comoros","COM",1990,NA,NA,NA,1140,65000,34.9274583557227,14724,18.2697474476088,12.89496899,490,NA,NA,1861,1478.78833,18655,1861,1267,89.0451135013367,34.64214722,NA,103565492.86075,NA,NA,296887,NA,12950,209535,NA,NA,NA,NA,NA,189109,411594
"Congo, Dem. Rep.","COD",1990,NA,NA,NA,259600,6670000,2.94214948942458,1863672,0.524911228248164,471.2958069,1603630,NA,NA,2267050,2278811.75,1490658,2344860,799.8,26835.0912012488,31429.414852,NA,2818946159.9711,30.9644670307507,NA,24011096,NA,1020016,17976222,NA,NA,NA,NA,NA,15618343,34614581
"Congo, Rep.","COG",1990,NA,NA,NA,105210,479000,1.40263543191801,9633,0.12298682284041,36.8340416,227260,NA,NA,341500,338427.125,6014,342000,624.3,2369.74472615437,2061.1836233,NA,359943717.791432,12.8608923884514,NA,1114703,NA,91413,1283866,NA,NA,NA,NA,NA,1065178,2440457
"Costa Rica","CRI",1990,NA,NA,NA,23050,260000,5.09204857030944,92604,4.89620054837446,283.8101807,25640,NA,NA,51060,46479.98438,286772,51100,3096.8,3205.01675594687,1535.001177,NA,821065907.799869,12.2718363722739,NA,1547936,NA,145480,1862820,5.45624778021658,NA,79.0599975585938,NA,50.310001373291,1087695,3095995
